epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,120,,,,,,,,,,,,,0.8759006857872009,0.5656527876853943,0.4228037893772125,-140565.328125,0.5656527876853943,0.5656527876853943
0,120,,,,,,,0.8514262437820435,0.4799923896789551,0.35721898078918457,-3104.626220703125,0.4799923896789551,0.4799923896789551,,,,,,
1,241,,,,,,,,,,,,,0.9374987483024597,0.7812462449073792,0.6790228486061096,-92294.3671875,0.7812462449073792,0.7812462449073792
1,241,,,,,,,0.9181023240089417,0.7133586406707764,0.5824319124221802,-44905.94140625,0.7133586406707764,0.7133586406707764,,,,,,
2,362,,,,,,,,,,,,,0.9391871690750122,0.7871548533439636,0.690730094909668,36763.71484375,0.7871548533439636,0.7871548533439636
2,362,,,,,,,0.9526697993278503,0.8343440890312195,0.7335202693939209,0.1205478310585022,0.8343440890312195,0.8343440890312195,,,,,,
3,483,,,,,,,,,,,,,0.9688569903373718,0.8909989595413208,0.821914792060852,14561.845703125,0.8909989595413208,0.8909989595413208
3,483,,,,,,,0.9676126837730408,0.8866450190544128,0.8082239627838135,-145874.34375,0.8866450190544128,0.8866450190544128,,,,,,
4,604,,,,,,,,,,,,,0.9739945530891418,0.9089813828468323,0.8483573794364929,44592.1328125,0.9089813828468323,0.9089813828468323
4,604,,,,,,,0.9793230891227722,0.9276303648948669,0.8710993528366089,0.09344878047704697,0.9276303648948669,0.9276303648948669,,,,,,
5,725,,,,,,,,,,,,,0.9759137630462646,0.9156979918479919,0.8641380667686462,-185952.953125,0.9156979918479919,0.9156979918479919
5,725,,,,,,,0.9825760722160339,0.9390162229537964,0.8919205069541931,-32587.75390625,0.9390162229537964,0.9390162229537964,,,,,,
6,726,0.9763482213020325,0.917218804359436,0.8695210218429565,-12534.2744140625,0.917218804359436,0.917218804359436,,,,,,,,,,,,
