epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,120,,,,,,,,,,,,,0.9999812841415405,0.9999348521232605,0.9998705387115479,-4701129.0,0.9999348521232605,0.9999348521232605
0,120,,,,,,,0.9749221205711365,0.912227213382721,0.8886358737945557,-47155.3359375,0.912227213382721,0.912227213382721,,,,,,
1,241,,,,,,,,,,,,,0.999792218208313,0.9992728233337402,0.9985717535018921,-10647149.0,0.9992728233337402,0.9992728233337402
1,241,,,,,,,0.9987740516662598,0.9957101345062256,0.9922168254852295,-573232.25,0.9957101345062256,0.9957101345062256,,,,,,
2,362,,,,,,,,,,,,,0.9999961256980896,0.9999868273735046,0.9999739527702332,-12268271.0,0.9999868273735046,0.9999868273735046
2,362,,,,,,,0.9997310042381287,0.9990581274032593,0.9981961250305176,-62036.1328125,0.9990581274032593,0.9990581274032593,,,,,,
3,483,,,,,,,,,,,,,0.9999963045120239,0.9999871850013733,0.99997478723526,-12368048.0,0.9999871850013733,0.9999871850013733
3,483,,,,,,,0.999979555606842,0.9999275803565979,0.9998576641082764,-0.0021130309905856848,0.9999275803565979,0.9999275803565979,,,,,,
4,604,,,,,,,,,,,,,0.9999963045120239,0.9999871850013733,0.99997478723526,-13104286.0,0.9999871850013733,0.9999871850013733
4,604,,,,,,,0.9999796152114868,0.999927818775177,0.9998586773872375,-0.0006859558634459972,0.999927818775177,0.999927818775177,,,,,,
5,725,,,,,,,,,,,,,0.9999963045120239,0.9999871850013733,0.99997478723526,-11902826.0,0.9999871850013733,0.9999871850013733
5,725,,,,,,,0.9999798536300659,0.9999281167984009,0.9998582601547241,0.0043525840155780315,0.9999281167984009,0.9999281167984009,,,,,,
6,846,,,,,,,,,,,,,0.9999963045120239,0.9999871850013733,0.99997478723526,-11924955.0,0.9999871850013733,0.9999871850013733
6,846,,,,,,,0.999979555606842,0.9999280571937561,0.9998583793640137,-0.002678387099877,0.9999280571937561,0.9999280571937561,,,,,,
7,847,0.9999977946281433,0.9999917149543762,0.9999837279319763,228953.828125,0.9999917149543762,0.9999917149543762,,,,,,,,,,,,
